FROM,TO,ROCK,AU,AG,CU,XCOLLAR,YCOLLAR,ZCOLLAR
183.275,185.775,1.0,1.89225,86.88886986,0.0,1782.243286,487.25354,644.6019898
185.775,188.275,1.0,1.54263,47.7118275,0.40568315,1782.243286,487.25354,644.6019898
188.275,190.775,1.0,2.52928,42.87841217,1.05518965,1782.243286,487.25354,644.6019898
190.775,193.275,1.0,3.29438,94.98080276,1.62223819,1782.243286,487.25354,644.6019898
193.275,195.775,1.0,4.60632,209.1354882,0.0,1782.243286,487.25354,644.6019898
195.775,198.275,1.0,5.29088,94.00577743,1.73524113,1782.243286,487.25354,644.6019898
198.275,200.775,1.0,4.24264,0.0,0.74296935,1782.243286,487.25354,644.6019898
200.775,203.275,1.0,3.96772,222.8812694,1.57211703,1782.243286,487.25354,644.6019898
203.275,205.775,1.0,4.83356,60.3014533,0.94968356,1782.243286,487.25354,644.6019898
205.775,208.275,1.0,5.86171,72.91151835,2.08450895,1782.243286,487.25354,644.6019898
208.275,210.775,1.0,3.49362,68.90300706,0.0,1782.243286,487.25354,644.6019898
210.775,212.488,1.0,1.94972,24.179336,1.36643022,1782.243286,487.25354,644.6019898
0.0,110.831,0.0,0.0,0.0,0.0,1824.748169,462.4299927,651.5180054
110.831,111.933,1.0,0.005,8.86073576,0.0,1824.748169,462.4299927,651.5180054
111.933,114.433,2.0,0.005,30.47980084,0.0,1824.748169,462.4299927,651.5180054
114.433,116.933,2.0,0.005,4.97916132,1.86009635,1824.748169,462.4299927,651.5180054
116.933,119.433,1.0,0.005,20.01255676,0.48737168,1824.748169,462.4299927,651.5180054
119.433,121.933,1.0,0.1234,7.51496369,0.250732,1824.748169,462.4299927,651.5180054
121.933,124.433,1.0,0.16758,53.9213108,0.0,1824.748169,462.4299927,651.5180054
124.433,126.933,1.0,0.33417,23.84377348,0.07035815,1824.748169,462.4299927,651.5180054
126.933,129.433,1.0,0.04084,21.41500056,0.0,1824.748169,462.4299927,651.5180054
129.433,131.933,1.0,0.88732,50.33180228,0.0,1824.748169,462.4299927,651.5180054
