BHID,FROM,TO,ROCK
106,102.4553648,104.9553648,1.0
106,104.9553648,107.4553648,1.0
106,107.4553648,109.9553648,1.0
106,109.9553648,112.4553648,1.0
106,112.4553648,114.9553648,1.0
106,114.9553648,117.4553648,1.0
106,117.4553648,119.9553648,1.0
106,119.9553648,122.4553648,1.0
106,122.4553648,124.9553648,1.0
106,124.9553648,127.4553648,1.0
106,127.4553648,129.9553648,2.0
106,129.9553648,132.4553648,1.0
106,132.4553648,134.9553648,1.0
106,134.9553648,137.4553648,1.0
106,137.4553648,139.9553648,1.0
106,139.9553648,142.4553648,1.0
106,142.4553648,144.9553648,1.0
106,144.9553648,147.4553648,1.0
106,147.4553648,149.9553648,1.0
106,149.9553648,152.4553648,1.0
106,152.4553648,154.9553648,1.0
106,154.9553648,157.4553648,2.0
106,157.4553648,159.9553648,1.0
106,159.9553648,162.4553648,1.0
106,162.4553648,164.9553648,1.0
106,164.9553648,167.4553648,1.0
106,167.4553648,169.9553648,1.0
106,169.9553648,172.4553648,1.0
106,172.4553648,174.9553648,1.0
106,174.9553648,177.4553648,1.0
106,177.4553648,179.9553648,1.0
106,179.9553648,182.4553648,1.0
106,182.4553648,184.9553648,1.0
106,184.9553648,187.4553648,1.0
106,187.4553648,189.9553648,1.0
106,189.9553648,192.4553648,1.0
106,192.4553648,193.0838108,1.0
107,0,36.91431,0.0
107,36.91431,38.13335197,1.0
107,38.13335197,40.63335197,1.0
107,40.63335197,43.13335197,1.0
107,43.13335197,45.63335197,1.0
107,45.63335197,48.13335197,1.0
107,48.13335197,50.63335197,1.0
107,50.63335197,53.13335197,1.0
107,53.13335197,55.63335197,1.0
107,55.63335197,58.13335197,1.0
107,58.13335197,60.63335197,1.0
107,60.63335197,63.13335197,1.0
107,63.13335197,65.63335197,1.0
107,65.63335197,68.13335197,1.0
107,68.13335197,70.63335197,1.0
107,70.63335197,73.13335197,1.0
107,73.13335197,75.63335197,1.0
107,75.63335197,78.13335197,1.0
107,78.13335197,80.63335197,1.0
107,80.63335197,83.13335197,1.0
107,83.13335197,85.63335197,1.0
107,85.63335197,88.13335197,1.0
107,88.13335197,90.63335197,1.0
107,90.63335197,93.13335197,1.0
107,93.13335197,95.63335197,1.0
107,95.63335197,98.13335197,1.0
107,98.13335197,100.633352,1.0
107,100.633352,103.133352,1.0
107,103.133352,105.633352,1.0
107,105.633352,108.133352,1.0
107,108.133352,110.633352,1.0
107,110.633352,113.133352,1.0
107,113.133352,115.633352,1.0
107,115.633352,118.133352,1.0
107,118.133352,120.633352,1.0
107,120.633352,123.133352,1.0
107,123.133352,125.633352,1.0
107,125.633352,128.133352,1.0
107,128.133352,130.633352,1.0
107,130.633352,133.133352,1.0
107,133.133352,135.633352,1.0
107,135.633352,138.133352,1.0
107,138.133352,140.633352,1.0
107,140.633352,143.133352,2.0
107,143.133352,145.633352,1.0
107,145.633352,148.133352,1.0
107,148.133352,150.633352,1.0
107,150.633352,153.133352,1.0
107,153.133352,155.633352,1.0
107,155.633352,158.133352,1.0
107,158.133352,160.633352,1.0
107,160.633352,163.133352,1.0
107,163.133352,165.633352,1.0
107,165.633352,168.133352,1.0
107,168.133352,170.633352,1.0
107,170.633352,173.133352,1.0
107,173.133352,175.633352,1.0
107,175.633352,178.133352,1.0
107,178.133352,180.633352,1.0
107,180.633352,183.133352,1.0
107,183.133352,185.633352,1.0
107,185.633352,188.133352,1.0
107,188.133352,190.633352,2.0
