BHID,FROM,TO,AU,AG,CU,LENGTH
106,137.4553648,139.9553648,1.45044,56.45048257,0,2.5
106,139.9553648,142.4553648,1.31053,29.0634752,0,2.5
106,142.4553648,144.9553648,1.05454,39.09460643,0.43654298,2.5
106,144.9553648,147.4553648,2.2843,47.59307752,1.49020653,2.5
106,147.4553648,149.9553648,3.23965,71.7617386,0.59135194,2.5
106,149.9553648,152.4553648,1.92231,46.4708869,0,2.5
106,152.4553648,154.9553648,2.62105,144.1298075,0,2.5
106,154.9553648,157.4553648,2.39214,47.34214183,0.00148868,2.5
106,157.4553648,159.9553648,2.53803,93.06568569,0,2.5
106,159.9553648,162.4553648,1.4627,50.35243546,1.13483278,2.5
106,162.4553648,164.9553648,0.79169,20.28962362,0,2.5
106,164.9553648,167.4553648,2.6226,75.68162589,0,2.5
106,167.4553648,169.9553648,2.67013,103.4412753,1.48818801,2.5
106,169.9553648,172.4553648,3.3094,68.34188785,2.49590174,2.5
106,172.4553648,174.9553648,1.7571,86.93924591,1.46826095,2.5
106,174.9553648,177.4553648,3.13709,104.1566735,0,2.5
106,177.4553648,179.9553648,3.49559,66.40197883,0.99640903,2.5
106,179.9553648,182.4553648,4.35612,60.26646169,0,2.5
106,182.4553648,184.9553648,3.89801,197.8895011,0,2.5
106,184.9553648,187.4553648,3.60686,111.7215991,2.38959884,2.5
106,187.4553648,189.9553648,3.36735,89.63700759,0,2.5
106,189.9553648,192.4553648,4.71692,251.9893731,0.43630898,2.5
106,192.4553648,193.0838108,2.32309,61.94142182,0,0.628446
107,0,36.91431,0,0,0,36.91431
107,36.91431,38.13335197,1.1592,58.35104475,1.04351082,1.21904197
107,38.13335197,40.63335197,2.9481,103.0614768,1.05574349,2.5
107,40.63335197,43.13335197,4.47168,89.01408903,1.73291187,2.5
107,43.13335197,45.63335197,3.84888,66.44630635,1.85242419,2.5
107,45.63335197,48.13335197,3.76935,136.6942977,2.69603545,2.5
107,48.13335197,50.63335197,3.3067,78.69070699,2.88442625,2.5
107,50.63335197,53.13335197,2.17417,25.87142877,1.54501946,2.5
107,53.13335197,55.63335197,1.12655,16.41784947,0,2.5
107,55.63335197,58.13335197,1.54314,91.6816619,0.90336739,2.5
107,58.13335197,60.63335197,1.47157,28.35969692,1.21368475,2.5
107,60.63335197,63.13335197,1.49227,0,0.55892838,2.5
107,63.13335197,65.63335197,1.36129,8.75657872,0.40976633,2.5
107,65.63335197,68.13335197,0.43475,8.79091472,0,2.5
107,68.13335197,70.63335197,0.427,32.32488107,0,2.5
107,70.63335197,73.13335197,0.55882,7.56253162,0.74103385,2.5
107,73.13335197,75.63335197,0.41091,14.93872061,0,2.5
107,75.63335197,78.13335197,0.44864,1.26064974,0,2.5
107,78.13335197,80.63335197,0.2945,42.72575823,0.359899,2.5
107,80.63335197,83.13335197,0.62491,16.76935286,0,2.5
107,83.13335197,85.63335197,1.03138,66.24264613,1.63329336,2.5
107,85.63335197,88.13335197,1.32651,73.60993761,0,2.5
107,88.13335197,90.63335197,0.4126,5.33182364,0,2.5
107,90.63335197,93.13335197,1.99793,76.30257008,1.00362917,2.5
107,93.13335197,95.63335197,0.96435,46.65876143,0.97388655,2.5
107,95.63335197,98.13335197,1.4082,35.99140674,1.04344828,2.5
107,98.13335197,100.633352,1.63689,66.88214648,0.329958,2.50000003
107,100.633352,103.133352,2.23948,56.28254939,0.14419472,2.5
107,103.133352,105.633352,1.49336,25.75894398,0,2.5
107,105.633352,108.133352,1.82739,98.4535317,0.43241551,2.5
107,108.133352,110.633352,0.94193,43.00275105,0.69769583,2.5
107,110.633352,113.133352,1.17407,47.88367662,0.94617927,2.5
107,113.133352,115.633352,1.29325,32.03304362,0,2.5
107,115.633352,118.133352,1.7958,59.03260303,0,2.5
107,118.133352,120.633352,2.26686,146.7644356,1.14896524,2.5
107,120.633352,123.133352,2.3489,80.33207066,1.65139292,2.5
107,123.133352,125.633352,1.94107,22.59739973,1.11871204,2.5
107,125.633352,128.133352,3.3081,20.24076016,2.89401027,2.5
107,128.133352,130.633352,3.0453,30.4280623,0,2.5
107,130.633352,133.133352,3.20209,51.58553827,1.25451243,2.5
107,133.133352,135.633352,2.23272,42.36555619,0.2368584,2.5
107,135.633352,138.133352,3.1546,30.30389986,0.7736271,2.5
107,138.133352,140.633352,2.97157,97.76215889,0.065871,2.5
107,140.633352,143.133352,2.80658,105.6841273,0.95737171,2.5
107,143.133352,145.633352,3.39429,87.50886326,1.19967187,2.5
107,145.633352,148.133352,2.5736,31.91104272,0.55959524,2.5
107,148.133352,150.633352,2.65125,102.2060693,1.91006301,2.5
107,150.633352,153.133352,1.12675,25.00079559,0,2.5
107,153.133352,155.633352,1.17469,43.92136921,0,2.5
107,155.633352,158.133352,1.09626,72.46853401,0.64651602,2.5
107,158.133352,160.633352,0.9403,22.00662012,1.77249149,2.5
107,160.633352,163.133352,2.45197,50.7220698,0,2.5
107,163.133352,165.633352,2.67108,69.60356617,0.4166721,2.5
107,165.633352,168.133352,3.5051,117.1349472,2.35074106,2.5
107,168.133352,170.633352,4.03632,160.3809884,1.05847021,2.5
107,170.633352,173.133352,4.14505,139.5247092,2.3432371,2.5
107,173.133352,175.633352,3.55318,67.00005964,0,2.5
107,175.633352,178.133352,2.07706,46.09005664,0.76326924,2.5
107,178.133352,180.633352,3.37002,125.0783535,1.20633982,2.5
107,180.633352,183.133352,9.06742,52.18582467,4.98564564,2.5
107,183.133352,185.633352,6.83065,49.55329859,0.68181828,2.5
