midx;midy;midz
10685;10815;3885
10695;10815;3885
10685;10805;3895
10695;10805;3895
10685;10815;3895
10695;10815;3895
10705;10805;3885
10705;10815;3885
10715;10815;3885
10705;10805;3895
10715;10805;3895
10705;10815;3895
10715;10815;3895
10725;10805;3895
10735;10805;3895
10725;10815;3895
10735;10815;3895
10745;10805;3895
10755;10805;3895
10745;10815;3895
10755;10815;3895
10765;10805;3895
10765;10815;3895
10775;10815;3895
10565;10825;3895
10575;10825;3895
10565;10835;3895
10575;10835;3895
10585;10825;3895
10595;10825;3895
10585;10835;3895
10595;10835;3895
10605;10825;3885
10615;10825;3885
10605;10835;3885
10615;10835;3885
10605;10825;3895
10615;10825;3895
10605;10835;3895
10615;10835;3895
10625;10825;3885
10635;10825;3885
10625;10835;3885
10635;10835;3885
10625;10825;3895
10635;10825;3895
10625;10835;3895
10635;10835;3895
10645;10825;3885
10655;10825;3885
10645;10835;3885
10655;10835;3885
10645;10825;3895
10655;10825;3895
10645;10835;3895
10655;10835;3895
10665;10825;3885
10675;10825;3885
10665;10835;3885
10675;10835;3885
10665;10825;3895
10675;10825;3895
10665;10835;3895
10675;10835;3895
10685;10825;3885
10695;10825;3885
10685;10835;3885
10695;10835;3885
10685;10825;3895
10695;10825;3895
10685;10835;3895
10695;10835;3895
10705;10825;3885
10715;10825;3885
10705;10835;3885
10715;10835;3885
10705;10825;3895
10715;10825;3895
10705;10835;3895
10715;10835;3895
10725;10825;3885
10725;10835;3885
10735;10835;3885
10725;10825;3895
10735;10825;3895
10725;10835;3895
10735;10835;3895
10745;10825;3895
10755;10825;3895
10745;10835;3895
10755;10835;3895
10765;10825;3895
10775;10825;3895
10765;10835;3895
10775;10835;3895
10785;10835;3895
10565;10845;3895
10575;10845;3895
10565;10855;3895
10575;10855;3895
10585;10845;3895
10595;10845;3895
10585;10855;3895
10595;10855;3895
10605;10845;3885
10615;10845;3885
10605;10855;3885
10615;10855;3885
10605;10845;3895
10615;10845;3895
10605;10855;3895
10615;10855;3895
10625;10845;3885
10635;10845;3885
10625;10855;3885
10635;10855;3885
10625;10845;3895
10635;10845;3895
10625;10855;3895
10635;10855;3895
10645;10845;3885
10655;10845;3885
10645;10855;3885
10655;10855;3885
10645;10845;3895
10655;10845;3895
10645;10855;3895
10655;10855;3895
10665;10845;3885
10675;10845;3885
10665;10855;3885
10675;10855;3885
10665;10845;3895
10675;10845;3895
10665;10855;3895
10675;10855;3895
10685;10845;3885
10695;10845;3885
10685;10855;3885
10695;10855;3885
10685;10845;3895
10695;10845;3895
10685;10855;3895
10695;10855;3895
10705;10845;3885
10715;10845;3885
10705;10855;3885
10715;10855;3885
10705;10845;3895
10715;10845;3895
10705;10855;3895
10715;10855;3895
10725;10845;3885
10735;10845;3885
10725;10855;3885
10735;10855;3885
10725;10845;3895
10735;10845;3895
10725;10855;3895
10735;10855;3895
10745;10845;3885
10745;10855;3885
10745;10845;3895
10755;10845;3895
10745;10855;3895
10755;10855;3895
10765;10845;3895
10775;10845;3895
10765;10855;3895
10775;10855;3895
10785;10845;3895
10795;10845;3895
10785;10855;3895
10795;10855;3895
10805;10855;3895
10565;10865;3895
10575;10865;3895
10565;10875;3895
10575;10875;3895
10585;10865;3895
10595;10865;3895
10585;10875;3895
10595;10875;3895
10605;10865;3885
10615;10865;3885
10605;10875;3885
10615;10875;3885
10605;10865;3895
10615;10865;3895
10605;10875;3895
10615;10875;3895
10625;10865;3885
10635;10865;3885
10625;10875;3885
10635;10875;3885
10625;10865;3895
10635;10865;3895
10625;10875;3895
10635;10875;3895
10645;10865;3885
10655;10865;3885
10645;10875;3885
10655;10875;3885
10645;10865;3895
10655;10865;3895
10645;10875;3895
10655;10875;3895
10665;10865;3885
10675;10865;3885
10665;10875;3885
10675;10875;3885
10665;10865;3895
10675;10865;3895
10665;10875;3895
10675;10875;3895
10685;10865;3885
10695;10865;3885
10685;10875;3885
10695;10875;3885
10685;10865;3895
10695;10865;3895
10685;10875;3895
10695;10875;3895
10705;10865;3885
10715;10865;3885
10705;10875;3885
10715;10875;3885
10705;10865;3895
10715;10865;3895
10705;10875;3895
10715;10875;3895
10725;10865;3885
10735;10865;3885
10725;10875;3885
10735;10875;3885
10725;10865;3895
10735;10865;3895
10725;10875;3895
10735;10875;3895
10745;10865;3885
10755;10865;3885
10745;10875;3885
10755;10875;3885
10745;10865;3895
10755;10865;3895
10745;10875;3895
10755;10875;3895
10765;10875;3885
10765;10865;3895
10775;10865;3895
10765;10875;3895
10775;10875;3895
10785;10865;3895
10795;10865;3895
10785;10875;3895
10795;10875;3895
10805;10865;3895
10805;10875;3895
10815;10875;3895
10565;10885;3895
10575;10885;3895
10565;10895;3895
10575;10895;3895
10585;10885;3895
10595;10885;3895
10585;10895;3895
10595;10895;3895
10605;10885;3885
10615;10885;3885
10615;10895;3885
10605;10885;3895
10615;10885;3895
10605;10895;3895
10615;10895;3895
10625;10885;3885
10635;10885;3885
10625;10895;3885
10635;10895;3885
10625;10885;3895
10635;10885;3895
10625;10895;3895
10635;10895;3895
10645;10885;3885
10655;10885;3885
10645;10895;3885
10655;10895;3885
10645;10885;3895
10655;10885;3895
10645;10895;3895
10655;10895;3895
10665;10885;3885
10675;10885;3885
10665;10895;3885
10675;10895;3885
10665;10885;3895
10675;10885;3895
10665;10895;3895
10675;10895;3895
10685;10885;3885
10695;10885;3885
10685;10895;3885
10695;10895;3885
10685;10885;3895
10695;10885;3895
10685;10895;3895
10695;10895;3895
10705;10885;3885
10715;10885;3885
10705;10895;3885
10715;10895;3885
10705;10885;3895
10715;10885;3895
10705;10895;3895
10715;10895;3895
10725;10885;3885
10735;10885;3885
10725;10895;3885
10735;10895;3885
10725;10885;3895
10735;10885;3895
10725;10895;3895
10735;10895;3895
